# %ECSV 1.0
# ---
# datatype:
# - name: _r
#   unit: ''
#   datatype: float64
#   format: '{:7.4f}'
#   description: Distance from center (339.84991355000+59.00460428000)[ICRS], at Epoch=J2016.0
#   meta: !!omap
#   - {ucd: POS_ANG_DIST_GENERAL}
#   - {width: 7}
#   - {precision: '4'}
# - name: Source
#   datatype: int64
#   description: Source identifier, identical to the Gaia-EDR3 source_id (id)
#   meta: !!omap
#   - {ucd: ID_MAIN}
#   - {width: 19}
# - name: RA_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric right ascension (ICRS) at Ep=2016.0 (ra)
#   meta: !!omap
#   - {ucd: POS_EQ_RA_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: DE_ICRS
#   unit: deg
#   datatype: float64
#   format: '{:15.11f}'
#   description: Barycentric declination (ICRS) at Ep=2016.0 (dec)
#   meta: !!omap
#   - {ucd: POS_EQ_DEC_MAIN}
#   - {width: 15}
#   - {precision: '11'}
# - name: rgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the geometric distance posterior (r_med_geo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the geometric distance posterior (r_lo_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the geometric distance posterior (r_hi_geo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:15.8f}'
#   description: '? Median of the photogeometric distance posterior (r_med_photogeo)'
#   meta: !!omap
#   - {ucd: PHYS_DISTANCE_TRUE}
#   - {width: 15}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: b_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 16th percentile of the photogeometric distance posterior (r_lo_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: B_rpgeo
#   unit: pc
#   datatype: float64
#   format: '{:14.8f}'
#   description: '? 84th percentile of the photogeometric distance posterior (r_hi_photogeo)'
#   meta: !!omap
#   - {ucd: ERROR}
#   - {width: 14}
#   - {precision: '8'}
#   - values: {'null': .nan}
# - name: Flag
#   datatype: int32
#   description: Flag (flag) (1)
#   meta: !!omap
#   - {ucd: CODE_MISC}
#   - {width: 5}
# meta: !!omap
# - {ID: I_352_gedr3dis}
# - {description: Estimating distances from parallaxes (1467744818 sources)}
# - {name: I/352/gedr3dis}
# schema: astropy-2.0
_r Source RA_ICRS DE_ICRS rgeo b_rgeo B_rgeo rpgeo b_rpgeo B_rpgeo Flag
1.6042 2008431715274149120 339.87031197044 59.02919271737 2189.54175 1177.55457 3567.84863 1783.55371 1292.51282 7571.1792 10133
1.6227 2008430306528315136 339.82327510265 59.02791551662 2914.14893 2617.7439 3300.76758 2788.21753 2530.4231 3075.98462 10033
1.6976 2008383023223046784 339.86455256288 58.97733488495 2855.69336 2046.82629 4197.05322 3123.97607 2346.75806 4101.86279 10033
1.7052 2008431749637658624 339.87917973704 59.02870270014 2906.91675 2739.80396 3131.1604 2869.31006 2730.18848 3023.74341 10033
1.7065 2008383195021747200 339.82835308578 58.97842076493 2004.87122 1363.31433 3381.39307 1988.39221 1446.1676 2680.04663 10033
1.7067 2008431779692074496 339.85670258131 59.03283295377 2961.9812 1835.34448 4695.93994 4853.69922 3221.05103 6529.64404 10033
1.7353 2008384814225752960 339.88980344892 59.02497044236 2851.36206 1970.55371 5141.2168 3122.92285 2289.69702 4666.23291 10033
1.744 2008383023223039744 339.84278676813 58.97577127748 2899.90308 1906.52856 4574.09229 3594.73438 2618.05835 4801.72314 10033
1.7664 2008384539347896704 339.90597003507 58.9988405687 2849.43872 1695.74451 5242.57471 3522.56519 2336.43066 5089.04053 10033
1.7877 2008384436276195712 339.89306630231 58.98476312947 2622.38867 2473.01392 2788.69727 2604.78027 2470.75342 2745.85156 10033
1.7901 2008384745507108608 339.90518832349 59.01355550791 2375.88672 1428.67957 3776.73657 5327.07373 4227.47363 7162.88623 20033
1.7919 2008430306525249280 339.81531576626 59.02857767823 2175.43481 1190.07996 3185.64111 4253.28564 3128.51343 6273.6709 10033
1.8188 2008384814233517312 339.89094820856 59.02634478779 2823.75195 2696.86523 2978.35889 2793.84888 2660.93652 2924.61987 10033
1.8255 2008430096064705536 339.7942018004 58.99448740464 2500.85913 1512.38721 4096.23584 2715.9646 2091.84814 4441.73535 10033
1.8285 2008430267863506048 339.79566326296 59.01679119504 2096.78003 1757.1178 2662.70752 2074.0293 1698.75391 2499.9939 10033
1.8448 2008384741210181248 339.89997012641 59.02137382422 2775.58325 1974.0437 3891.46411 2709.87549 2037.37354 3699.76221 10033
1.8526 2008430169085999744 339.79002090677 59.00318449447 2583.49878 1402.55457 3921.22168 5127.02246 3874.32617 7277.60596 10033
1.8961 2008383195021744896 339.82170618489 58.9765411572 2313.94604 1421.69507 4016.8623 1690.82031 1201.31726 2431.88647 10033
1.9695 2008384436268091264 339.90101280536 58.98499225264 2462.89575 1362.69568 4680.75439 3401.86841 2318.66113 4937.91553 10033
1.9721 2008430302223345664 339.83291343227 59.03628608721 2870.0354 2067.6123 4129.3667 3068.97974 2157.80542 4282.84326 10033
1.974 2008431783993711360 339.86260901528 59.03684921456 2917.73633 1838.71289 4565.44336 4703.9126 4073.44312 6184.91064 10033
1.9942 2008384745514049408 339.90700220176 59.02012090471 2586.48462 2145.00586 3890.35425 2232.74707 1942.82727 2625.03735 10033
1.9961 2008431783993709184 339.83821253038 59.03732341524 2326.42847 1432.22119 4311.42432 3831.44263 2607.94067 5469.77441 10033
