TypeInput	RA	DE	Plx	e_Plx	RV	e_RV	RVdist	pmRA	e_pmRA	pmDE	e_pmDE	Source
1	22 38 26.199	59 01 07.006	0.48003079	0.0303	0	0	0	-6.168	0.032	-3.585	0.031	2008430959363325696
1	22 40 32.946	59 03 30.915	0.46092922	0.0314	0	0	0	-4.285	0.033	-4.259	0.034	2008390243072222208
1	22 40 11.766	58 56 26.806	0.48886166	0.0321	0	0	0	-0.079	0.033	-2.593	0.035	2008380656705264128
1	22 39 03.900	58 58 20.614	0.37991514	0.0308	0	0	0	-5.416	0.034	-2.650	0.032	2008383126302250624
1	22 40 27.425	58 54 48.493	0.33640992	0.0319	0	0	0	-3.896	0.032	-1.213	0.034	2008379591553403520
1	22 38 18.101	58 58 48.751	0.41193717	0.0322	0	0	0	-4.717	0.035	-6.973	0.032	2008407216783805696
1	22 38 48.111	59 12 34.376	0.44819565	0.0318	0	0	0	0.819	0.036	-0.395	0.038	2008447898714710400
1	22 39 02.737	58 56 47.293	0.42268877	0.0377	0	0	0	-0.200	0.039	-0.968	0.037	2008383061888626816
1	22 40 28.762	58 52 23.953	0.35461785	0.0334	0	0	0	-1.297	0.036	-0.741	0.040	2008367698779175936
1	22 41 01.526	58 52 59.063	0.41194172	0.0329	0	0	0	-4.930	0.035	-4.621	0.037	2008372719605773184
1	22 41 10.183	59 06 45.702	0.42625538	0.0349	0	0	0	-15.461	0.034	-2.466	0.035	2008390689748830208
1	22 40 50.401	58 50 37.721	0.40140795	0.0352	0	0	0	-6.210	0.041	-2.892	0.038	2008366741011307520
1	22 39 29.875	58 55 14.904	0.39255318	0.1501	0	0	0	-6.114	0.150	-3.285	0.149	2008381893655580160
1	22 38 23.766	58 46 32.992	0.46056202	0.0332	0	0	0	-1.393	0.038	-3.475	0.032	2008354165346256512
1	22 38 31.608	59 14 08.609	0.41796046	0.0315	0	0	0	-4.507	0.034	-2.355	0.036	2008448792067688960
1	22 39 08.659	59 11 10.889	0.41800235	0.0323	0	0	0	-4.718	0.036	-1.986	0.035	2008437315915152000
1	22 40 31.706	59 12 43.074	0.48436916	0.0368	0	0	0	3.027	0.039	-0.976	0.038	2008439961615085696
1	22 41 02.067	59 04 12.515	0.44733943	0.0356	0	0	0	0.390	0.036	0.194	0.036	2008387563012654848
1	22 39 15.567	58 45 48.183	0.35150899	0.0351	0	0	0	-3.935	0.041	-0.921	0.033	2008376872828843008
1	22 40 05.628	59 12 22.382	0.37347360	0.0355	0	0	0	-3.252	0.038	-3.231	0.037	2008439755456628992
1	22 39 03.419	59 11 48.803	0.44630721	0.0338	0	0	0	0.794	0.039	-4.011	0.037	2008437487713830144
1	22 40 09.456	59 06 52.368	0.45195855	0.0344	0	0	0	-5.882	0.037	-4.045	0.036	2008432436832418176
1	22 39 46.963	59 09 25.170	0.39363783	0.0351	0	0	0	-4.086	0.038	-4.226	0.036	2008433673782948992
1	22 40 27.788	59 07 10.994	0.41599078	0.0353	0	0	0	-0.341	0.037	-0.292	0.036	2008391411303287808
1	22 37 55.153	59 05 35.394	0.48113456	0.0560	0	0	0	-2.877	0.061	-4.350	0.054	2008423606378938496
1	22 38 35.312	59 07 02.182	0.36617508	0.0528	0	0	0	-4.179	0.057	-2.048	0.055	2008435185611132416
1	22 39 32.500	59 05 35.389	0.37929048	0.0358	0	0	0	-0.735	0.038	-1.099	0.037	2008432952228465152
1	22 39 46.081	58 50 23.745	0.40455220	0.0601	0	0	0	-5.655	0.062	-1.477	0.063	2008377529968846976
1	22 37 50.279	59 00 59.445	0.47594806	0.0376	0	0	0	-4.234	0.041	-5.355	0.039	2008410618397867520
1	22 39 53.520	59 13 40.968	0.44270179	0.0373	0	0	0	2.206	0.038	-1.870	0.038	2008437109756750336
1	22 38 06.028	58 49 35.058	0.38230074	0.0346	0	0	0	-0.473	0.038	-1.503	0.037	2008358254155092864
1	22 41 23.695	58 57 06.617	0.34697800	0.0370	0	0	0	-0.448	0.039	-1.288	0.043	2008374093995295872
1	22 38 43.100	59 10 08.751	0.49402181	0.0374	0	0	0	-5.215	0.042	1.207	0.040	2008435937221138688
